"X-location","Z-location","Log Resistivity"
        1.000         0.000    0.6237969
        2.000         0.000   -0.0886187
        3.000         0.000    0.8879997
        4.000         0.000       1.3389
        5.000         0.000       1.1031
        6.000         0.000    0.6975170
        7.000         0.000       1.3206
        8.000         0.000       1.1738
        9.000         0.000    0.6956480
       10.000         0.000    0.7612736
       11.000         0.000    0.8852368
       12.000         0.000    0.9366846
       13.000         0.000       1.3264
       14.000         0.000       2.2233
       15.000         0.000       2.7144
       16.000         0.000       3.1531
